,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
435,1,1,1,2,0,4,3,1,0,1,0,1,1,0
436,1,1,1,3,1,4,3,0,0,0,0,0,1,0
437,1,1,0,0,0,4,2,1,0,1,1,1,1,0
438,1,1,1,3,0,2,2,1,0,1,0,1,1,0
439,1,1,1,3,1,5,2,1,0,1,1,0,1,0
440,1,1,1,2,0,2,3,0,0,1,0,1,3,0
441,1,1,1,3,1,5,2,1,0,0,0,1,1,0
442,1,1,1,3,1,2,3,1,0,1,1,1,3,0
443,1,1,1,2,1,4,2,0,0,0,1,1,2,0
444,1,1,1,1,1,5,4,1,0,0,0,1,1,0
